Round,Delegate,Previously Forged Height,Max Height Prevoted,Active Since Round,Height,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,
,,,,,,Prevotes,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,D2,2,5,1,13,Precommits,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,D3,3,6,1,14,Precommits,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
,D4,4,7,1,15,Precommits,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,
,D5,5,8,1,16,Precommits,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,
,D6,6,9,1,17,Precommits,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,
,D7,7,10,1,18,Precommits,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,
,D8,8,11,1,19,Precommits,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,
,D9,9,12,1,20,Precommits,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,
,D10,10,13,1,21,Precommits,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,
,D11,11,14,1,22,Precommits,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,
3,D1,12,15,1,23,Precommits,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,
,D2,13,16,1,24,Precommits,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,
,D3,14,17,1,25,Precommits,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,
,D4,15,18,1,26,Precommits,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,
,D5,16,19,1,27,Precommits,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,
,D6,17,20,1,28,Precommits,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,
,D7,18,21,1,29,Precommits,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,
,D8,19,22,1,30,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,,
,D9,20,23,1,31,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,,
,D10,21,24,1,32,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,,
,D11,22,25,1,33,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,2,1,,,,
4,D9,31,26,1,34,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,3,2,1,,,
,D - New,0,26,4,35,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,6,5,4,3,3,2,2,1,,
,D5,27,26,1,36,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,7,6,5,4,4,3,2,0,0,0,0,0,0,0,0,0,0,
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,7,7,6,5,4,4,3,3,2,1,
,D1,23,26,1,37,Precommits,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,8,7,6,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,,Prevotes,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,8,7,6,5,5,4,4,3,2,1
